,X,Y,Z
440,47048495.1397638,760228478.993874,7671675.055331349
441,-94386774.71778584,741851903.0176574,48692047.75660852
442,-197663128.0037103,775004020.032777,54980928.73217052
443,-313086743.8473749,688431793.5424426,93822041.99201086
444,33839493.60815262,751068569.3984952,-82896571.63091052
445,-23921935.36780069,745984119.6331167,103013437.4925875
446,-41605349.09925684,858781428.9625548,-20428483.82524967
447,-148445493.1549857,653919881.2655213,-4664799.996186107
448,-398748293.0987111,673899739.0286218,75974804.8062649
449,-425868736.8952388,622713750.1750398,26223627.13882098
450,-589068519.5800667,517631212.483687,11878008.06955743
451,-300684295.0024956,666706918.4570172,-140148120.4356202
452,-21178221.42985681,795071170.291774,30002812.22342533
453,132357614.1708011,686229546.0961502,196235036.2452495
454,-177565092.634529,649366676.3674223,-169309130.6198553
455,58549930.18350376,818164387.7869843,84874528.28997499
456,-10480918.6060147,724322488.3034698,-138670643.3254776
457,-310408231.4973084,541407251.5491326,-226969146.8247932
458,-66422095.73442035,748487516.1455615,119028939.9561524
459,97745029.9779482,724321084.377949,34919594.39654815
460,-37920713.39604963,663234120.0380344,-228834510.8806528
461,-218718220.5165211,611903207.6043001,62483242.56553802
462,-123494186.6664819,700543463.070389,179087989.7471108
463,-384597528.5035408,672314229.463351,13300108.56720451
464,-241608026.0101644,692501522.4129064,20224613.38769349
465,197923200.7875103,724239164.5874829,62166095.8702133
466,-184084180.1573965,686278231.8977532,64635780.23535934
467,-296549129.5087221,741407235.2388248,186549293.9295378
468,-228919151.4491841,696912569.3641047,231715334.659849
469,-307637382.6061138,678611366.8410628,-88159463.9920161
470,-429422420.1924642,622228886.0327098,86661791.76575074
471,-99802320.41781478,729357068.741887,-116649117.3648424
472,-363852071.2251297,649592627.455696,-142015511.9078725
473,-321570191.5995206,664309939.7214699,3753520.417179614
474,-9110546.980250036,764788845.9731468,-157065158.8373063
475,-80883646.98202202,798361160.6526692,-116357798.5281954
